dialect,standard,region
Ri bơ thời gian mô mà yêu đương nữa hè?,Thế này thì thời gian đâu mà yêu đương nữa nhỉ?,central
o mi cũng mê nơi chơ chi?,cô mày cũng mê chứ gì?,central
Mới hè đó mà chừ qua mùa đông rồi tề. Ri bơ chẳng mấy chốc mà Tết lại hầy,Mới hè đó mà bây giờ qua mùa đông rồi kìa. Thế này thì chẳng mấy chốc mà Tết lại nhỉ,central
"Ngày ni không đăng tin mô hết, bơ không có ngàn mô luôn, chiến thuật chi lạ ri bay","Ngày nay không đăng tin nào hết, rồi không có một nghìn nào luôn, chiến thuật gì lạ thế chúng mày",central
Đi nhậu ri bơ lời,Đi nhậu thế này thì lời,central
Chuyện nhỏ nớ họ không bận tâm mô em.,Chuyện nhỏ đó họ không bận tâm đâu em,central
Chắc về với học trò mới được nâng niu bơ hư ri đây,Chắc về với học trò mới được nâng niu nên hư thế này đây,central
Quên đá tó kìa anh ơi,Quên đá chống xe kìa anh ơi,southern
"mạ hắn cũng biết, với số lượng nớ thì chỉ có án chữ chơ không có án số rồi.","Mẹ nó cũng biết, với số lượng đó thì chỉ có án chữ chứ không có án số rồi.",central
Mần chuyến du lịch ci anh.,Làm một chuyến du lịch một cái anh à.,central
"ngày 25 mà bạn ơi, 6 giờ túi ni nha.","Ngày 25 mà bạn ơi, 6 giờ tối nay nhé.",central
"""Đọc mô ra An Thái hay ri hè?""",đọc ở đâu ra An Thái hay vậy nhỉ?,central
"người ở mô rứa chị, quá tội đi.","người ở đâu vậy chị, tội quá đi",central
Thấy nẫu dìa quơ hết làm muốn dìa quơ liền,Thấy người ta về quê hết làm tôi muốn về quê ngay,southern
Thế là ông hái cho tui thêm trái nữa là được 2 trái. Hái xong tui cảm ơn ông bơ tui vô kể nội nghe,Thế là ông hái cho tôi thêm một trái nữa là được 2 trái. Hái xong tôi cảm ơn ông rồi tôi vào kể nội nghe,central
Rầu sao tui dân Phú Yên mà tui hổng biết món canh này ông nậu,Rồi sao tôi dân Phú Yên mà tôi không biết món canh này ông nội,southern
Hai mẹ con với o Diên khi mô rẻng rồi đi hí?,Hai mẹ con với cô Diên khi nào rảnh rồi đi nhỉ?,central
"Xưa ngon, giờ dở, đã vậy còn mắc","Xưa ngon, giờ dở, đã vậy còn đắt",southern
"Mi nhác rứa ai mà ưa, đứa mô chộ mi bơ thất kinh chơ ai mà ưa","Mày lười vậy ai mà ưa, đứa nào thấy mày thì thất kinh chứ ai mà ưa",central
"Tự nhiên thấy hồi lớp 10 dễ thương ghê bây nã, nhưng mà tại đoạn nớ dịch xong đeo khẩu trang quen bơ ảnh mô cũng dính khẩu trang hết","Tự nhiên thấy hồi lớp 10 dễ thương ghê chúng mày ạ, nhưng mà tại đoạn đó dịch xong đeo khẩu trang quen nên ảnh nào cũng dính khẩu trang hết",central
"Vài tấm hay hay tui chụp được, quên đặt lại thời gian lại bơ tấm mô cũng hiện 2010","Vài tấm hay hay tôi chụp được, quên đặt lại thời gian lại nên tấm nào cũng hiện 2010",central
"Chao ơi thằng con. Ri bơ nhớ thêm, nhớ đọa chơ có bớt nhớ mô.","Trời ơi thằng con. Thế này thì nhớ thêm, nhớ mệt chứ có bớt nhớ đâu.",central
Do mình lâu không chụp ảnh như ri bơ bị gượng đó,Do mình lâu không chụp ảnh như thế này nên bị gượng đó,central
Ở mô Thanh Chương đó ả?,Ở đâu Thanh Chương đấy chị?,central
Ủa nhà mình bán ri bơ lỗ răng anh?,Ủa nhà mình bán thế này thì lỗ sao anh?,southern
Nghĩ lại thấy cũng thương mẹ bơ khi mô mẹ chị kéo đi chơi chị cũng đi,Nghĩ lại thấy cũng thương mẹ nên khi nào mẹ chị kéo đi chơi chị cũng đi,central
Chỗ mô bán bơ chín rứa mấy chị?,Chỗ nào bán bơ chín vậy mấy chị?,central
Đáng lẽ tối ni bị nhác không đi mô. Mà tự nhiên thấy muốn có cảm giác đi trại lại bơ đi với ba mẹ lên chơi với em tui rứa đó,Đáng lẽ tối nay bị lười không đi đâu. Mà tự nhiên thấy muốn có cảm giác đi trại lại nên đi với ba mẹ lên chơi với em tôi vậy đó,central
Chị em cun gấy nhà ni lạ lắm. Ở nhà thì như chó với mèo mà đi mô về không chộ chắc cấy là hỏi,Chị em con gái nhà này lạ lắm. Ở nhà thì như chó với mèo mà đi đâu về không thấy nhau một cái là hỏi,central
Rứa bơ chừ ở Đông Hà hay mô?,Vậy rồi bây giờ ở Đông Hà hay đâu?,central
Bữa mô em ngủ trong nhà vệ sinh bơ đợi chị nhắn rứa hí,Bữa nào em ngủ trong nhà vệ sinh thì đợi chị nhắn vậy nhé,central
"Ngày ni là bắt đầu ôn thi nè, đoạn ni chưa nghiêm túc mô, do nghĩ còn lâu xong bơ cuối tháng mới hối hận nè","Ngày này là bắt đầu ôn thi này, đoạn này chưa nghiêm túc đâu, do nghĩ còn lâu xong nên cuối tháng mới hối hận này",central
Hôm ni tui mặc quần ni bơ mẹ tui nói là chưa thấy lần mô mặc xấu như lần ni,Hôm nay tôi mặc quần này thì mẹ tôi nói là chưa thấy lần nào mặc xấu như lần này,central
"Có khi mô tại cái răng nớ bị hư bơ 2 răng giữa tui ""chia tay"" không trời?","Có khi nào tại cái răng đó bị hư nên 2 răng giữa tôi ""chia tay"" không trời?",central
lên kèo dìa miền tây thử chất rồng không bây ?,lên kế hoạch về miền tây thử chất rồng không chúng mày !,southern
Không mần được mô dì ơi. Đủ ăn ngày 3 bữa là ok. Kim cương chi tầm ni.,Không làm được đâu dì ơi. Đủ ăn ngày 3 bữa là ổn. Kim cương gì tầm này.,central
mắc nhậu thiệt đó nha,muốn nhậu thật đấy nhé,southern
"Không phải vì tui nhác mô mà tại tui sợ 2 cái 2 nơi rứa hắn cô đơn bơ tui để chung, mà chừ thì tui bỏ 2 cái 2 nơi vì tui nghĩ hắn cũng cần không gian riêng tư","Không phải vì tôi lười đâu mà tại tôi sợ 2 cái 2 nơi vậy nó cô đơn nên tôi để chung, mà bây giờ thì tôi bỏ 2 cái 2 nơi vì tôi nghĩ nó cũng cần không gian riêng tư",central
Nghe nói người trong xóm mình phải hông,Nghe nói người trong xóm mình phải không,southern
Chỗ ni hồi xưa có đi rồi hè? Hình mất tiêu hết rồi.,Chỗ nay hồi xưa có đi rồi nhỉ. Hình mất tiêu hết rồi.,central
"""Sáng ăn bánh mướt Hà Tịnh chiều uống bia Sài Gòn không biết tối về ở mô?""",Sáng ăn bánh ướt Hà Tĩnh chiều uống bia Sài Gòn không biết tối về ở đâu?,central
Tối nó có chạy lẹp bẹp lên bờ hông? Chớ dòm cặp mắt sợ qué,Tối nó có chạy lẹp bẹp lên bờ không? Chứ nhìn cặp mắt sợ quá,southern
"Cha trời, ai mần cho ông Tiền ra ri.","Cha trời, ai làm cho ông Tiền ra thế này.",central
Bữa đầu năm có mấy đứa kể anh nớ gửi hình vô nhóm xong vẹ mấy đứa tìm thông tin cho hắn ta bơ chừ em nhớ lại đăng cho vui,Bữa đầu năm có mấy đứa kể anh đó gửi hình vào nhóm xong bảo mấy đứa tìm thông tin cho hắn ta nên bây giờ em nhớ lại đăng cho vui,central
"Ầy thì tau đi về phá chơi cho xe hắn hết điện, xong tau lượn lượn côi nớ hung quá bơ ngang đoạn ngã 4 Sịa hết điện","Ừ thì tao đi về phá chơi cho xe nó hết điện, xong tao lượn lượn trên đó nhiều quá nên ngang đoạn ngã 4 Sịa thì hết điện",central
Miềng cũng ở Quảng Bình mà không biết trái ni?,Mình cũng ở Quảng Bình mà không biết trái này?,central
"Góc này ở số 7 Bacu nè , chiều làm ly trà mát lắm!","Góc này ở số 7 Bacu này , chiều mà uống một ly trà mát lắm!",southern
nay đông thì dìa chứ có tết nào dìa đâu.,nay đông thì về chứ có tết nào về đâu.,southern
Đánh với Team Liquid còn rứa bơ thứ 6 gặp G2 đánh kiểu chi bây,Đánh với Team Liquid còn vậy thì thứ 6 gặp G2 đánh kiểu gì chúng mày,central
Ảnh cuối có là vì thằng em tui hắn đi lấy xe cho con chị hắn xong con chị hắn không đưa chìa khóa cho nó bơ nó phải dắt bộ vô. Còn lại là tui thích chụp bơ tui chụp thôi,Ảnh cuối có là vì thằng em tôi nó đi lấy xe cho con chị nó xong con chị nó không đưa chìa khóa cho nó nên nó phải dắt bộ vào. Còn lại là tôi thích chụp nên tôi chụp thôi,central
"Ừ bạn, sắp tới còn to hơn nữa, chứ rứa răng ăn thua chi, cố gắng bằng vợ chồng bạn.","Ừ bạn, sắp tới còn to hơn nữa, chứ thế này sao ăn thua gì, cố gắng bằng vợ chồng bạn thôi.",central
Ai bồng con cho mà đi dạo ri hè?,Ai bồng con cho mà đi dạo vậy nhỉ?,central
Chị có phải con cấy mệ Huê không?,Chị có phải con gái bà Huê không?,central
Nào rủ đi rồi quay cho cái video in rứa,Khi nào rủ đi rồi quay cho cái video giống vậy,central
Năm sau gặp lại có chụp được bức in ri không mà đăng rứa,Năm sau gặp lại có chụp được bức giống thế này không mà đăng vậy,central
Nam châm mắc nơi người bơ dính nhau hoài rứa thôi,Nam châm mắc trên người nên dính nhau mãi vậy thôi,central
"Về ôn thi á chị, mà lịch mắc cười lắm, thi một môn xong nghỉ 11 ngày, rồi thi tiếp một môn nghỉ tiếp 8 ngày, mà 6 môn như rứa, bơ chắc em về một đợt thôi","Về ôn thi ấy chị, mà lịch buồn cười lắm, thi một môn xong nghỉ 11 ngày, rồi thi tiếp một môn nghỉ tiếp 8 ngày, mà 6 môn như vậy, nên chắc em về một đợt thôi",central
Rứa bữa chừ là Huế chưa đẹp à?,Vậy bữa giờ là Huế chưa đẹp à?,central
Nhưng mà vì rứa bơ thấy hắn ăn thấm tháp hơn,Nhưng mà vì vậy nên thấy nó ăn thấm tháp hơn,central
"Rứa cũng gần hầy, mà nỏ đủ duyên nên chưa gặp bao giờ. Quê anh ở mô ạ?","Vậy cũng gần nhỉ, mà không đủ duyên nên chưa gặp bao giờ. Quê anh ở đâu ạ?",central
Rứa để mình bộ ni hi. Mai bạn đem đi làm bơ mình đi ngang mình lấy luôn hí,Vậy để mình bộ này nhé. Mai bạn mang đi làm rồi mình đi ngang mình lấy luôn nhé,central
"Dạ, rứa chờ thêm quyết định chốt cái ngày bơ ăn mừng thôi","Dạ, vậy chờ thêm quyết định chốt cái ngày rồi ăn mừng thôi",central
Nói thật là chưa có người yêu nhưng mà thấy thiếu thiếu bơ cứ tỏ ra rứa cho có đủ gia vị,Nói thật là chưa có người yêu nhưng mà thấy thiếu thiếu nên cứ tỏ ra vậy cho có đủ gia vị,central
Đang ngồi rứa bơ tự nhiên nhớ sực lại,Đang ngồi vậy thì tự nhiên nhớ sực lại,central
Được rứa bơ ngon,Được vậy thì ngon,central
Hình như chắc do rứa bơ nhìn đẹp hơn quay thẳng đó mi,Hình như chắc do vậy nên nhìn đẹp hơn quay thẳng đó mày,central
"Đời chị chỉ sợ hết tiền thôi , chơ thế giới ni họ độc thân bơ chết hết à?","Đời chị chỉ sợ hết tiền thôi , chứ thế giới này họ độc thân thì chết hết à?",central
Này chắc lúc mới làm xong phải hôn nè.,Khi này chắc lúc mới làm xong phải không nhỉ.,southern
không biết đàng cho bằng bạn bằng bè gì nựa.,không biết đường cho bằng bạn bằng bè gì nữa,central
Do đọc giống bơ nhiều người viết rứa đó,Do đọc giống nên nhiều người viết vậy đó,central
"Xưa chừ đêm 30 toàn ở quê, có đời mô được xem pháo hoa ở Huế mô","Xưa giờ đêm 30 toàn ở quê, có đời nào được xem pháo hoa ở Huế đâu",central
"Ụa chi mà nhanh rứa, tao chưa dặn mày quay video lại mà.","Ôi, sao mà nhanh vậy, tôi chưa dặn bạn quay video lại mà.",central
Lướt tiktok xong thấy mấy bạn 2008 bơ nhìn lại mình thấy non choẹt luôn,Lướt tiktok xong thấy mấy bạn 2008 rồi nhìn lại mình thấy non choẹt luôn,southern
trường ni ở mô ri o?,trường vày ở đâu vậy cô?,central
Tự nhiên hỏi hắn xong bơ nằm thấy lo lo,Tự nhiên hỏi nó xong rồi nằm thấy lo lo,central
Điện thoại o hết pin bơ mới xuống chơ không là o còn ngồi chơ chưa xuống mô,Điện thoại cô hết pin nên mới xuống chứ không là cô còn ngồi chứ chưa xuống đâu,central
Xe ni xử lí răng mấy chú.,Xe này xử lí sao mấy chú,central
coi không có đàng qua thăm con gái riêu hè?,Coi không có đường qua thăm con gái rượu nhỉ?,central
"Mô chị, nỏ đi thi chi hết, tự nhiên hôm ni lướt Threads bơ thấy trường Chuyên Lê Quý Đôn, rứa là biết đồng hương rồi nên vô bình luận đó","Đâu chị, không đi thi gì hết, tự nhiên hôm nay lướt Threads thì thấy trường Chuyên Lê Quý Đôn, vậy là biết đồng hương rồi nên vào bình luận đó",central
Tháng trước không đi chụp photobooth đợt mô cả rứa bơ tháng ni đi bù nì,Tháng trước không đi chụp photobooth đợt nào cả vậy nên tháng này đi bù này,central
bạn mần chi bôi bác rứa.,bạn làm gì mà bôi bác vậy,central
mẽ ôi rứa mà chị gấy mình không hiểu.,mẹ ôi vậy mà chị gái mình không hiểu,central
Rành khổ với mấy ả ni!,Rõ khổ với mấy chị này!,central
"Nhìn toàn nót nác méng, sèm lắm luôn","Nhìn toàn nuốt nước miếng, thèm lắm luôn",central
Đặt sản là chạy phải quẹo qua quẹo lại hả bạn?,Đặc sản là chạy phải rẽ qua rẽ lại hả bạn!,southern
Bà bạn bả báo thấy bịnh lắm,Bà bạn bà ấy báo thấy bệnh lắm,southern
Rứa là bao nhiêu khách đổ về nhà nớ chí mô.,Vậy là bao nhiêu khách đổ về nhà đó chứ đâu.,central
xin lỗi mẹ mai mốt con hông dám vậy nữa.,xin lỗi mẹ sau này con không dám vậy nữa.,southern
"mày tạo dáng đi, chụp ri ni","mày tạo dáng đi, chụp như thế này này",central
Tau lạy mi.,Tao lạy mày.,central
"Triển con ni đi ngoại, cho đợ nắng Tân Mùi hè?","Mua con này đi ngoại, chứ đợi tới năm Tân Mùi nhỉ",central
"không thấy nhậu nhẹt, karaoke, đổ đèo, tiến lên chi hết hè?","không thấy nhậu nhẹt, karaoke, đổ đèo, tiến lên gì hết nhỉ?",central
chả lẽ ổng lại bảo thôi em đừng kiếm,chẳng lẽ ông ấy lại bảo thôi em đừng tìm,southern
Bựa ni rồi còn dễ bị lừa ba cái vụ ni nữa trời.,Bữa nay rồi còn dễ bị lừa ba cái vụ này nữa trời,central
Chắc đòi mua Exiter mạ không mua bơ bỏ đi.,Chắc đòi mua Exiter mà mẹ không mua nên bỏ đi.,central
"mạ tưởng thì ế mà gái ri, thì biết khi mô, mà hắn có vợ hè?",Mẹ tưởng thì ế mà gái thế này thì biết khi nào mà nó có vợ nhỉ?,central
để mai mốt có thất thoát thì làm bằng chứng.,để sau này có thất thoát thì làm bằng chứng,southern
Răng thấy tương lai tau mịt mù ri,Sao thấy tương lai tao mịt mù thế,central
Tội mấy đứa nhỏ. Khách đông làm không ngạ luôn,Tội mấy đứa nhỏ. Khách đông làm không xuể luôn,central
"Bánh nớ đắt, ăn khung ngạ","Bánh đó đắt, ăn không nổi",central
Hỏi thiệt có mắc cỡ không dậy?,Hỏi thật có xấu hổ không vậy?,southern
Thôi em nỏ về nựa mô chồng ơi . Kiếm được cách mần giàu mà vui rồi,Thôi em không về nữa đâu chồng ơi . Tìm được cách làm giàu mà vui rồi,central
Ai nỏ biết chớ ra đàng là người ta biết là bị công an bắt,Ai không biết chứ ra đường là người ta biết là bị công an bắt,central
Nhiều quá chăm không ngạ.,Nhiều quá chăm không nổi.,northern
Rất nhiều món ạ. Mời mọi người. Đăng không ngạ ạ,Rất nhiều món ạ. Mời mọi người. Đăng không hết ạ,central
Ai biết cây ni tên chi không hè,Ai biết cây này tên gì không nhỉ,central
Dừ nỏ còn là dân Vinh nựa,Bây giờ không còn là dân Vinh nữa,central
Nỏ biết rầy à?,Không biết xấu hổ à?,central
Nói chơ nhiều quá 2 anh chị thưởng thức không ngạ nên mạ nó bán bớt cho nội. Trời ni mà mần quả dừa nhà ni thì mát cấy rọt lắm luôn,Nói chứ nhiều quá 2 anh chị thưởng thức không hết nên mẹ nó bán bớt cho nội. Trời này mà làm một quả dừa nhà này thì mát cái ruột lắm luôn,central
"Tóm lại là về nhiều hàng lắm ạ, ảnh tìm không ngạ","Tóm lại là về nhiều hàng lắm ạ, ảnh tìm không hết",central
Vừa đấm vừa xoa mà đấm kiểu ni xoa không ngạ,Vừa đấm vừa xoa mà đấm kiểu này xoa không nổi,central
Không mần chi ngạ,Không làm gì nổi,central
Nói chi ngạ nữa hè?,Nói gì nổi nữa nhỉ?,central
Việc không ngạ mà cứ đi ngơ ngơ,Việc không hết mà cứ đi ngơ ngơ,northern
Năm ni không nghe mệ ngoại rủ khối nghỉ hè về chơi nơi,Năm nay không nghe bà ngoại rủ khối nghỉ hè về chơi nơi,central
"ngoại nói nhà hông có ai, mạnh ai nấy hốt đi","ngoại nói nhà không có ai, mạnh ai nấy hốt đi",southern
"Máy bác tài ni mua đường luôn rồi, có nhìn thấy ai đang di chuyển mô. Chạy bán mạng luôn.","Máy bác tài này mua đường luôn rồi, có nhìn thấy ai đang di chuyển đâu. Chạy bán mạng luôn.",central
Cấy ni biết lâu rồi. Ad dừ mới biết à.,Cái này biết lâu rồi. Admin giờ mới biết à.,central
"Về chở lên cho với, không ai chự ngạ","Về chở lên cho với, không ai giữ nổi",central
chạy hơn mấy chục cây số lận đó.,chạy hơn tận mấy chục cây số đấy.,southern
"Nghỉ hè chưa? Chở mấy đứa về ở lại đây với mạ ,khi mô bưa rồi lên.","Nghỉ hè chưa? Chở mấy đứa về ở lại đây với mẹ ,khi nào chán rồi lên.",central
Cắt thì cụng cò mần chi được mô,Cắt thì cũng có làm gì được đâu,central
"""Bựa mô ăn thử vợ hè?""",Bữa nào ăn thử vợ nhỉ.,central
Xem cấy ni ở mô đây mi hè,Xem cái này ở đâu đây mày nhỉ,central
"Đã ở ngái thì chớ, suốt ngày cứ lướt Facebook là chộ.","Đã ở xa thì chứ, suốt ngày cứ lướt Facebook là thấy.",central
Em khiếp luôn! Đang đi phơi phới i nựa. Hấn ào cho cấy.,Em khiếp luôn! Đang đi phơi phới đi nữa. Nó ào cho cái.,central
Ở mô rứa bạn.,Ở đâu vậy bạn,central
cái thèn khốn nạn ghê bây,cái thằng khốn nạn ghê chúng mày nhỉ,southern
Lúc xong thì liệu mọi người com ở đây có lên tầu vi vu được không nhỉ?,Lúc xong thì liệu mọi người com ở đây có lên tàu vi vu được không nhỉ?,northern
Rứa mần chi mà sống nổi?,Vậy làm gì mà sống nổi,central
"Chủ số này quen thế nhề, hình như mở cả chỗ Tích Sơn hay sao ấy?","Chủ số này quen thế nhỉ, hình như mở cả chỗ Tích Sơn hay sao ấy?",northern
"đang mắc ghiền, ai nhậu không?","đang nghiền, ai nhậu không?",southern
Năm mô cái quần què. Tự bảo vệ bản thân và gia đình phật nào chứng mà năm mô!,Năm nào cái quần què. Tự bảo vệ bản thân và gia đình phật nào chứng mà năm nào!,central
